STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
mv_op_xp_cost,0,0,0,0,0,0,0
mv_open_to_exp_altered,1,1,1,1,2,2,2
mv_open_to_exp_tested,0,0,0,0,0,0,0
mv_openness_to_exp_altered,0,0,0,0,0,0,0
mv_openness_to_exp_tested,0,0,0,0,0,0,0
mv_performance_altered,0,0,0,0,0,0,0
mv_performance_tested,0,0,0,0,0,0,0
mv_persuasion_altered,0,0,0,0,0,0,0
mv_persuasion_tested,0,0,0,0,0,0,0
mv_pineda_like_altered,0,0,0,0,0,0,0
mv_pineda_like_tested,0,0,0,0,0,0,0
mv_politics_altered,0,0,0,0,0,0,0
mv_politics_tested,0,0,0,0,0,0,0
mv_rep_agora_altered,0,0,0,0,0,0,0
mv_rep_agora_tested,0,0,0,0,0,0,0
mv_rep_anarchs_altered,0,0,0,0,0,0,0
mv_rep_anarchs_tested,0,0,0,0,0,0,0
mv_rep_asymptote_altered,0,0,0,0,0,0,0
mv_rep_asymptote_tested,0,0,0,0,0,0,0
mv_rep_bureau_altered,0,0,0,0,0,0,0
mv_rep_bureau_tested,0,0,0,0,0,0,0
mv_rep_camarilla_altered,0,0,0,0,0,0,0
mv_rep_camarilla_tested,0,0,0,0,0,0,0
mv_rep_firstlight_altered,0,0,0,0,0,0,0
mv_rep_firstlight_tested,0,0,0,0,0,0,0
mv_resolve_altered,0,0,0,0,0,0,0
mv_resolve_tested,0,0,0,0,0,0,0
mv_science_altered,0,0,0,0,0,0,0
mv_science_tested,0,0,0,0,0,0,0
mv_stamina_altered,0,0,0,0,0,0,0
mv_stamina_tested,0,0,0,0,0,0,0
mv_stealth_altered,0,0,0,0,0,0,0
mv_stealth_tested,0,0,0,0,0,0,0
mv_streetwise_altered,0,0,0,0,0,0,0
mv_streetwise_tested,0,0,0,0,0,0,0
mv_strength_altered,0,0,0,0,0,0,0
mv_strength_tested,0,0,0,0,0,0,0
mv_subterfuge_altered,0,0,0,0,0,0,0
mv_subterfuge_tested,0,0,0,0,0,0,0
mv_survival_altered,0,0,0,0,0,0,0
mv_survival_tested,0,0,0,0,0,0,0
mv_tc_xid_altered,0,0,0,0,0,0,0
mv_tc_xid_tested,0,0,0,0,0,0,0
mv_technology_altered,0,0,0,0,0,0,0
mv_technology_tested,0,0,0,0,0,0,0
mv_test_result,0,0,0,0,0,0,0
mv_the_ex_flirts_altered,0,0,0,0,0,1,1
mv_the_ex_flirts_tested,0,0,0,0,0,0,0
mv_the_ex_like_altered,1,1,1,1,1,1,1
mv_the_ex_like_tested,0,0,0,0,0,0,0
mv_the_ex_romance_altered,0,0,0,0,0,0,0
mv_the_ex_romance_tested,0,0,0,0,0,0,0
mv_the_journo_flirts_altered,0,0,0,0,0,0,0
mv_the_journo_flirts_tested,0,0,0,0,0,0,0
mv_the_journo_like_altered,0,0,0,0,0,0,0
mv_the_journo_like_tested,0,0,0,0,0,0,0
mv_the_journo_romance_altered,0,0,0,0,0,0,0
mv_the_journo_romance_tested,0,0,0,0,0,0,0
mv_troubled_child_like_altered,0,0,0,0,0,0,0
mv_troubled_child_like_tested,0,0,0,0,0,0,0
mv_troubled_child_mask_altered,0,0,0,0,0,0,0
mv_troubled_child_mask_tested,0,0,0,0,0,0,0
mv_troubled_child_status_altered,0,0,0,0,0,0,0
mv_troubled_child_status_tested,0,0,0,0,0,0,0
mv_upper_hand_anarchs_altered,0,0,0,0,0,0,0
mv_upper_hand_anarchs_tested,0,0,0,0,0,0,0
mv_upper_hand_camarilla_altered,0,0,0,0,0,0,0
mv_upper_hand_camarilla_tested,0,0,0,0,0,0,0
mv_upper_hand_si_altered,0,0,0,0,0,0,0
mv_upper_hand_si_tested,0,0,0,0,0,0,0
mv_willpower_altered,0,0,0,0,0,0,0
mv_willpower_tested,0,0,0,0,0,0,0
mv_wits_altered,0,0,0,0,0,0,0
mv_wits_tested,0,0,0,0,0,0,0
mv_xp_altered,0,0,0,0,0,0,0
mv_xp_tested,0,0,0,0,0,0,0
ngonnen_flirts,0,0,0,0,0,0,0
ngonnen_like,0,0,0,0,0,0,0
ngonnen_romance,0,0,0,0,0,0,0
num_achievements
occult,0,0,1,1,1,1,2
open_to_exp,48,50,50,51,52,53,55
openness_to_exp,50,50,50,50,50,50,50
percentiles.txt
performance,0,0,0,0,1,1,2
persuasion,0,1,2,2,3,3,4
pineda_like,50,50,50,50,50,50,50
politics,0,0,0,1,1,2,2
ranges-combos.csv
ranges.csv
rep_agora,0,0,0,0,0,0,0
rep_anarchs,0,0,0,0,0,0,0
rep_asymptote,0,0,0,0,0,0,0
rep_bureau,50,50,50,50,50,50,50
rep_camarilla,0,0,0,0,0,0,0
rep_firstlight,20,20,20,20,20,20,20
resolve,2,2,2,3,3,4,4
science,0,0,0,0,1,2,3
skill_1s,3,3,3,7,7,7,7
skill_2s,3,3,3,5,5,5,5
skill_3s,3,3,3,3,3,3,3
skill_4s,0,0,0,0,1,1,1
stamina,2,2,2,2,2,3,3
stealth,0,0,0,1,1,2,2
streetwise,0,0,0,1,1,2,2
strength,2,2,2,2,2,3,4
subterfuge,0,1,1,2,2,2,2
survival,0,0,0,0,0,1,2
t_all_flirts,0,0,0,0,0,0,0
t_all_romance,0,0,0,0,0,0,0
t_biggest_crush,0,0,0,0,0,0,0
t_maxcrush,0,0,0,0,0,0,0
tc_x_id,1,1,2,2,2,3,3
tc_xid,3,3,3,3,3,3,3
technology,0,0,0,0,1,2,3
the_ex_flirts,0,0,0,0,0,2,2
the_ex_like,48,48,51,51,55,55,55
the_ex_romance,0,0,0,0,0,0,0
the_journo_flirts,0,0,0,0,0,0,0
the_journo_like,50,50,50,50,50,50,50
the_journo_romance,0,0,0,0,0,0,0
troubled_child_like,50,50,50,50,50,50,50
troubled_child_mask,0,0,0,0,0,0,0
troubled_child_status,0,0,0,0,0,0,0
upper_hand_anarchs,0,0,0,0,0,0,0
upper_hand_camarilla,0,0,0,0,0,0,0
upper_hand_si,0,0,0,0,0,0,0
willpower,4,5,5,6,6,6,7
wits,2,2,2,2,3,3,4
x_id,1,1,2,2,2,3,3
xp,1,1,1,2,2,2,2
generated on,Wed Sep 23 12:15:18 CEST 2026
